ID,Sex,Cohort,Treatcode,Treatment,Cap_Year,Date,Recap,MOC,Area,Burrow_no,Old or new?,Wt (g),MCL_mm,Stage,Dead,Comments
1,I,2005,headstart,headstart,2006,13-Jun-06,RELEASE,release,E,N/A,new,82,72,J,,"FROM GLYNN MIDDLE SCHOOL; HATCHED FALL 2005; RELEASED WITH TRANS (0.084KG); FREQ 149.489, ATTACHED ON ANTERIOR CARAPACE; BILATERAL TOENAIL SPLAYING; TRANSPONDER PLACED IN LEFT INGUINAL AREA"
1,I,2005,headstart,headstart,2010,10-Sep-10,yes,trap,E,E56,,530,139,S,,FRESHENED NOTCHES;2005 YOY
1,I,2005,headstart,headstart,2012,13-May-12,yes,trap,E,E56,,840,164,S,,"Transmitter attached: frequency 165.368, transmitter # 174315, iButton attached 14 June 2012"
1,I,2005,headstart,headstart,2012,24-Sep-12,yes,trap,E,E56,,1173,,S,,"Old iButton failed; replaced with 5D0000002E07CF21 (starts logging 15 Oct 2012, every 120 minutes). Old transmitter 177836, new freq. 166.734. Tortoise released 1 Oct 2012, at 16:00."
1,I,2005,headstart,headstart,2013,8-Apr-13,yes,trap,E,E56,NA,1245,155,S,,Downloaded ibutton data (reset 4/9/13 @ midnight) and repaired antennae shealthing on transmitter.
3,I,2005,headstart,headstart,2006,13-Jun-06,RELEASE,release,E,N/A,new,84,72,J,,FROM GLYNN MIDDLE SCHOOL; HATCHED FALL 2005; RELEASED WITH TRANS (0.091KG); FREQ 149.528; TRANSMITTER #112559; TRANSPONDER PLACED IN LEFT INGUINAL; TRANSMITTER ON 1ST VERTEBRAL
3,I,2005,headstart,headstart,2008,17-Jun-08,Yes,trap,E,E24,,292,108,J,,Annuli measured for growth rate.  Fat and healthy!; GREEN PAINT ON CARAPACE
3,I,2005,headstart,headstart,2010,12-Sep-10,Yes,trap,E,E25,,1001,179,S,,"Carapace--green paint on center of the 5th vertebral, freshened marks; 2005 YOY;"
7,I,2005,headstart,headstart,2006,13-Jun-06,RELEASE,release,E,N/A,new,82,75,J,,FROM GLYNN MIDDLE SCHOOL; HATCHED FALL 2005; RELEASED WITH TRANS #112555; FREQ 149.449;
7,I,2005,headstart,headstart,2008,12-Jun-08,Yes,trap,E,E25,,304,122,J,,"Annuli measured for growth rate.  Appears healthy!  PCV=25%, TS=1.9"
7,I,2005,headstart,headstart,2010,22-Jul-10,yes,trap,E,E38,,960,170,S,,mild keratin wear ON PLASTRON
7,I,2005,headstart,headstart,2012,19-Jun-12,yes,trap,E,E78,,1592,217,S,,"Transmitter attached: frequency 165.551, transmitter # 175793, iButton attached 21 June 2012. Weight with transmitter is 1.565kg."
7,I,2005,headstart,headstart,2012,29-Sep-12,yes,trap,E,E78,,1897,,S,,"Cattracker #2 added (start oct 1, 2012). Old iButton failed; replaced with new iButton # E10000002E049B21 (set to start 15 Oct 2012, every 120 minutes). Release 30 Sept 2012 @16:30."
7,I,2005,headstart,headstart,2013,24-May-13,yes,trap,E,E78,na,1780,230,S,,"Very hard to make age estimate at this point. New transmitter attached 174313 freq 165.216, best at .215. New ibutton attaches 800000002E2AF021."
8,I,2005,headstart,headstart,2006,13-Jun-06,RELEASE,release,E,N/A,new,76,72,J,,FROM GLYNN MIDDLE SCHOOL; HATCHED FALL 2005; RELEASED WITH TRANS #112558 (.084KG); FREQ 149.505; WAS PREVIOUSLY #4 IN CAPTIVITY BUT COULD NOT NOTCH #4 SCUTE ON BRIDGE; TRANSMITTER PLACED ON 1ST INGUINAL
8,I,2005,headstart,headstart,2009,3-Oct-09,YES,trap,E,E, ,503,143,S,,LOOKS HEALTHY
8,I,2005,headstart,headstart,2010,8-Sep-10,yes,trap,E,E54,,773,165,S,,freshened notches; 2005 YOY - HEADSTART BY GLYNN MIDDLE SCHOOL
8,I,2005,headstart,headstart,2013,25-Jul-13,yes,trap,E,E54,na,1780,224,S,,"Missing scales and minor damage to nails on both front limbs (broken nail tips).  Worn scute on first vertebral scute. Plastron wear on most scutes approximately on the ""birth"" zone of the scute. A fecal float was done for parasites. Blood and a nsal flush were done for mycoplasma testing."
9,I,2005,headstart,headstart,2006,13-Jun-06,RELEASE,release,E,N/A,new,100,80,J,,FROM GLYNN MIDDLE SCHOOL; HATCHED FALL 2005; RELEASED WITH TRANS (.110KG); FREQ 149.390; WAS PREVIOUSLY ID'D AS #5 (PAINT ID ONLY) IN CAPTIVITY BUT COULD NOT NOTCH BRIDGE
9,I,2005,headstart,headstart,2007,9-Jun-07,YES,trap,C,NEW 13C,,163,96,J,,WT IS WITH RADIO 
9,I,2005,headstart,headstart,2010,11-Sep-10,yes,trap,E,E22,,921,182,S,,freshened notches; 2005 YOY - HEADSTART BY GLYNN MIDDLE SCHOOL
10,I,2006,headstart,headstart,2007,23-Mar-07,YES,release,E,,,87,71,J,,"2006 HATCHLING REARED IN LAB, RELEASED 2007 IN E AREA; clutch 2; From burrow A92, clutch ID 2-1; see clutch notes regarding confusion for individuals #1 & 2 from clutch; "
11,I,2006,headstart,headstart,2007,23-Mar-07,YES,release,E,,,96,74,J,,"2006 HATCHLING REARED IN LAB, RELEASED 2007 IN E AREA; clutch 2; 2006 Hatchling,  From burrow A92, clutch ID 2-2; see clutch notes regarding confusion for individuals #1 & 2 from clutch;"
12,I,2006,headstart,headstart,2007,23-Mar-07,YES,release,E,,,70,67,H,,"2006 HATCHLING REARED IN LAB, RELEASED 2007 IN E AREA; CLUTCH 2; 2006 Hatchling.  From burrow A92, clutch id 2-3;  Note in electronic databases said ""hatchling from 2007 also marked 12 - WHERE ARE DATA FOR 2007 HATCHLING?""; however, I think that confusion because 2007 record for the 2006 cohort hatchling that was measured in 2007 prior to release"
13,I,2007,Non,direct_release,2007,1-Sep-07,NO,release,,,,24,44,H,,"2007 Hatchling, incubated and released.  From burrow A68.  Clutch ID 14-3"
16,I,2006,headstart,headstart,2007,23-Mar-07,YES,release,E,,,56,53,H,,"2006 HATCHLING from Burrrow A92, clutch id 2-4; REARED IN LAB, RELEASED 2007 IN E AREA; CLUTCH 2"
17,I,2006,headstart,headstart,2007,23-Mar-07,YES,release,E,,,72,68,H,,"2006 HATCHLING REARED IN LAB, RELEASED 2007 IN E AREA; CLUTCH 2; From burrow A92, clutch id 2-5;"
18,I,2006,headstart,headstart,2007,23-Mar-07,YES,release,E,,,64,68,H,,"2006 HATCHLING REARED IN LAB, RELEASED 2007 IN E AREA; CLUTCH 2;  From burrow A92, clutch id 2-6;"
18,I,2006,headstart,headstart,2008,11-Jun-08,Yes,trap,E,E33,,124,89,J,,Annuli measured for growth rate.
18,I,2006,headstart,headstart,2009,1-Oct-09,YES,trap,E,E, ,377,128,J,,"CARAPACE LENGTH & TOTAL LENGTH ARE SAME; WPT 76 IN TRACEY'S GPS - WGS84, NAD83, ZONE 17R: 3505094, 0486814; TWO MISSING SCALES ON R FORELIMB AT JOINT; "
18,I,2006,headstart,headstart,2010,14-Sep-10,Yes,trap,E,ET-1?,,559,147,S,,"2006 YOY, HEADSTART RELEASED 2007; DOUBLE CHECKED CL & TL MEASUREMENTS"
18,I,2006,headstart,headstart,2011,6-Jun-11,yes,trap,E,E34,,679,156,S,,
18,I,2006,headstart,headstart,2012,16-May-12,Yes,trap,E,E70,,925,174,S,,"Transmitter attached: frequency 165.088, transmitter # 174312, iButton attached. Weight after transmitter is 0.890 (after defication). "
18,I,2006,headstart,headstart,2012,21-Sep-12,yes,trap,E,E62,,1184,,S,,"added new iButton # 6E0000002ED4C321 (starts logging 15 Oct 2012, every 120min). New transmitter #177840, new freq 166.982. Rleased 1 Oct 2012, @ 16:00."
18,I,2006,headstart,headstart,2013,2-Apr-13,yes,trap,E,E62,na,1221,196,S,,Missing most proximal nail on Right Front leg. On left front leg old injury to scale. New iButton attached C60000002E17A021
19,I,2006,headstart,headstart,2007,23-Mar-07,YES,release,E,,,65,65,H,,"2006 HATCHLING REARED IN LAB, RELEASED 2007 IN E AREA; CLUTCH 2?; 3RD VERTEBRAL SPLIT; From burrow A92, clutch id 2-7; "
20,I,2006,headstart,headstart,2007,23-Mar-07,YES,release,E,,,81,72,J,,"2006 HATCHLING REARED IN LAB, RELEASED 2007 IN E AREA; CLUTCH 2; From burrow A92, clutch id 2-8; 2-8? DATA SHEET SAYS 2-6 BUT IS ALREADY ANOTHER 2-6"
21,I,2006,headstart,headstart,2007,23-Mar-07,YES,release,E,,,85,73,J,,"2006 HATCHLING REARED IN LAB, RELEASED 2007 IN E AREA; CLUTCH 8 ; From burrow A77, nest collected on 13 Sept 2006; clutch id 8-1"
22,I,2006,headstart,headstart,2007,23-Mar-07,YES,release,E,,,88,73,J,,"2006 HATCHLING REARED IN LAB, RELEASED 2007 IN E AREA; CLUTCH 8; From burrow A77, nest collected on 13 Sept 2006; clutch id 8-2"
23,I,2007,Non,direct_release,2007,1-Sep-07,NO,release,,,,38,54,H,,"2007 Hatchling, incubated and released.  CLUTCH ID 3-3; From Burrow A122"
26,I,2006,headstart,headstart,2007,23-Mar-07,YES,release,E,,,76,69,J,,"2006 HATCHLING REARED IN LAB, RELEASED 2007 IN E AREA; CLUTCH 8; From burrow A77, nest collected on 13 Sept 2006; clutch id 8-3;"
27,I,2006,headstart,headstart,2007,23-Mar-07,YES,release,E,,,97,75,J,,"2006 HATCHLING REARED IN LAB, RELEASED 2007 IN E AREA; CLUTCH 8; #9 SCUTE VERY REDUCED (TRIANGULAR); From burrow A77, nest collected on 13 Sept 2006; clutch id 8-4; #9 scute greatly reduced"
28,I,2006,headstart,headstart,2007,23-Mar-07,YES,release,E,,,88,73,J,,"2006 HATCHLING REARED IN LAB, RELEASED 2007 IN E AREA; CLUTCH 8; From burrow A77, nest collected on 13 Sept 2006; clutch id 8-5; "
29,I,2006,headstart,headstart,2007,23-Mar-07,YES,release,E,,,77,72,H,,"2006 HATCHLING REARED IN LAB, RELEASED 2007 IN E AREA; CLUTCH 8; From burrow A77, nest collected on 13 Sept 2006; clutch id 8-6;"
30,I,2007,Non,direct_release,2007,1-Sep-07,NO,release,,,,26,47,H,,"2007 Hatchling, incubated and released.  Clutch ID 14-1.  From burrow A68."
31,I,2007,Non,direct_release,2007,1-Sep-07,NO,release,,,,36,50,H,,"2007 Hatchling, incubated and released.  Clutch ID 6-1.  From burrow A88."
33,I,2007,Non,direct_release,2007,1-Sep-07,NO,release,,,,32,51,H,,"2007 Hatchling, incubated and released.  Clutch ID 12-7.  From burrow A102."
36,I,2007,Non,direct_release,2007,1-Sep-07,NO,release,,,,22,41,H,,"2007 Hatchling, incubated and released.  Clutch ID 14-6.  From Burrow A68."
37,I,2007,Non,direct_release,2007,1-Sep-07,NO,release,,,,22,45,H,,"2007 Hatchling, incubated and released.  Clutch ID 14-7.  From Burrow A68."
38,I,2007,Non,direct_release,2007,1-Sep-07,NO,release,,,,34,49,H,,"2007 Hatchling, incubated and released. Eggs from female 159; CLUTCH ID 4-3;"
39,I,2007,Non,direct_release,2007,1-Sep-07,NO,release,,,,38,53,H,,"2007 Hatchling, incubated and released.  Clutch ID 12-1.  From Burrow A102."
40,I,2007,Non,direct_release,2007,1-Sep-07,NO,release,,,,32,58,H,,"2007 Hatchling, incubated and released.  From female 129.  Clutch 16 ID 16-1."
41,I,2007,Non,direct_release,2007,1-Sep-07,NO,release,,,,30,48,H,,"2007 Hatchling, incubated and released.  Clutch ID 10-3, burrow C?"
41,I,2007,Non,direct_release,2008,14-Jul-08,YES,trap,C,C86,,38,57,H,,Chubby!
42,I,2007,Non,direct_release,2007,1-Sep-07,NO,release,,,,36,51,H,,"2007 Hatchling, incubated and released.  Clutch ID 12-2.  From burrow A102."
43,I,2007,Non,direct_release,2007,1-Sep-07,NO,release,,,,32,49,H,,"2007 Hatchling, incubated and released.   Clutch ID 18-2, from Lefty."
46,I,2007,Non,direct_release,2007,1-Sep-07,NO,release,,,,24,45,H,,"2007 Hatchling, incubated and released.  Clutch ID 14-9.  From burrow A68."
46,I,2007,Non,direct_release,2008,30-Jul-08,YES,hand,A,near A75,,50,64,H,,Seems healthy!
47,I,2007,Non,direct_release,2007,1-Sep-07,NO,release,,,,22,44,H,,"2007 Hatchling, incubated and released.  Clutch  ID 14-8.  From burrow A68."
48,I,2007,Non,direct_release,2007,1-Sep-07,NO,release,,,,22,44,H,,"2007 Hatchling, incubated and released.  Clutch ID 14-4.  From burrow A68."
49,I,2007,Non,direct_release,2007,1-Sep-07,NO,release,,,,26,47,H,,"2007 Hatchling, incubated and released.  Clutch ID 10-6, burrow C?; DENT ON RIGHT SIDE OF CARAPACE"
306,I,2007,Non,direct_release,2007,1-Sep-07,NO,release,, ,,38,52,H,,"2007 Hatchling, incubated and released.  From burrow A122, clutch ID 3-2."
306,I,2007,Non,direct_release,2010,12-Sep-10,yes,trap,C,C94,,436,139,S,,carapace paint indicates 2nd individual of clutch
307,I,2007,Non,direct_release,2007,1-Sep-07,NO,release,,,,32,50,H,,"2007 Hatchling, incubated and released.  From burrow A122, clutch ID 3-7."
308,I,2007,Non,direct_release,2007,1-Sep-07,NO,release,,,,40,54,H,,"2007 Hatchling, incubated and released.  From burrow A122, clutch ID 3-8."
309,I,2007,Non,direct_release,2007,1-Sep-07,NO,release,,,,38,53,H,,"2007 Hatchling, incubated and released.  From burrow A122, clutch ID 3-1."
309,I,2007,Non,direct_release,2009,2-Jul-09,YES,trap,C,C-J1,,169,103,J,,"IF ID IS CORRECT, IS A 2007 HATCHLING; LOOKS HEALTHY; IS A QUESTION MARK BESIDE ID - NOT SURE WHY; COMPARE PHOTOGRAPHS; PROBABLY NO PHOTOS FROM ORIGINAL CAPTURE TO USE TO ID"
310,I,2006,headstart,headstart,2007,23-Mar-07,YES,release,E,,,71,67,H,,"2006 HATCHLING REARED IN LAB, RELEASED 2007 IN E AREA; CLUTCH 8; From burrow A77, from nest collected 13 Sept 2006; clutch id 8-7;"
311,I,2006,headstart,headstart,2007,23-Mar-07,YES,release,E,,,66,64,H,,"2006 HATCHLING REARED IN LAB, RELEASED 2007 IN E AREA; CLUTCH 8; From burrow A77, from nest collected 13 Sept 2006; clutch id 8-8"
312,I,2006,headstart,headstart,2007,23-Mar-07,YES,release,E,,,82,70,H,,"2006 HATCHLING REARED IN LAB, RELEASED 2007 IN E AREA; CLUTCH 8; From burrow A77, from nest collected 13 Sept 2006; clutch id 8-9;"
313,I,2007,Non,direct_release,2007,2-Oct-07,NO,release,,,,47,47,H,,"2007 Hatchling, incubated and released.  From burrow A97, clutch ID 9-6."
316,I,2006,headstart,headstart,2007,23-Mar-07,YES,release,E,,,53,62,H,,"2006 HATCHLING REARED IN LAB, RELEASED 2007 IN E AREA; CLUTCH 1;  From female 423, clutch id 1-1;"
317,I,2006,headstart,headstart,2007,23-Mar-07,YES,release,,,,51,59,H,,"HATCHLING REARED IN LAB; CLUTCH 1;  From female 423, clutch id 1-2;"
318,I,2006,headstart,headstart,2007,23-Mar-07,YES,release,E,,,53,61,H,,"2006 HATCHLING REARED IN LAB, RELEASED 2007 IN E AREA; CLUTCH 1; From female 423, clutch id 1-3;"
319,I,2006,headstart,headstart,2007,23-Mar-07,YES,release,E,,,57,62,H,,"2006 HATCHLING REARED IN LAB, RELEASED 2007 IN E AREA; CLUTCH 5 - BUT READ NOTE FROM PREV CAPTURE; #1 SCUTE ALSO MARKED;  From female 423, clutch 1. (clutch ID based on carapace 5-1 but none of clutch 5 eggs hatched; think must be from clutch 1; re-assigning this turtle to clutch 1 makes the hatchling number match clutch size for clutch 1 and accounts for the missing hatchlings from that clutch); confirm with blood samples; also ID error when marking - notched #300, 10, 9 + 1 scutes - fix when remarking in spring"
320,I,2006,headstart,headstart,2007,23-Mar-07,YES,release,E,,,54,61,H,,"2006 HATCHLING REARED IN LAB, RELEASED 2007 IN E AREA; CLUTCH 5 - BUT READ COMMENT FROM PREV CAPTURE; 2006 Hatchling.  From female 423, clutch 1. (clutch id 5-2 based on carapace paint but none of clutch 5 eggs hatched; think must be from clutch 1; re-assigning this turtle to clutch 1 makes the hatchling number match clutch size for clutch 1 and accounts for the missing hatchlings from that clutch); confirm clutch ID with blood samples; "
321,I,2006,headstart,headstart,2007,23-Mar-07,YES,release,E,,,66,67,H,,"2006 HATCHLING REARED IN LAB, RELEASED 2007 IN E AREA; CLUTCH 5 - BUT READ COMMENT FROM PREV CAPTURE; From female 423, clutch 1. (clutch id 5-3 based on painting on carapace but none of clutch 5 eggs hatched; think must be from clutch 1; re-assigning this turtle to clutch 1 makes the hatchling number match clutch size for clutch 1 and accounts for the missing hatchlings from that clutch); confirm clutch with blood sample"
322,I,2006,headstart,headstart,2007,23-Mar-07,YES,release,E,,,55,63,H,,"2006 HATCHLING REARED IN LAB, RELEASED 2007 IN E AREA; CLUTCH 5; From female 423, clutch 1. (clutch id 5-4 based on painting on carapace but none of clutch 5 eggs hatched; think must be from clutch 1; re-assigning this turtle to clutch 1 makes the hatchling number match clutch size for clutch 1 and accounts for the missing hatchlings from that clutch); confirm clutch with blood sample"
323,I,2007,Non,direct_release,2007,2-Oct-07,NO,release,,,,31,39,H,,"2007 Hatchling, incubated and released.  From female 414, clutch ID 15-2."
326,I,2006,headstart,headstart,2007,23-Mar-07,YES,release,E,,,54,62,H,,"2006 HATCHLING REARED IN LAB, RELEASED 2007 IN E AREA; CLUTCH 5 - BUT READ NOTE FROM PREV CAPTURE; From female 423, clutch 1. (clutch id 5-5 based on painting on carapace but none of clutch 5 eggs hatched; think must be from clutch 1; re-assigning this turtle to clutch 1 makes the hatchling number match clutch size for clutch 1 and accounts for the missing hatchlings from that clutch); confirm clutch with blood sample"
327,I,2006,headstart,headstart,2007,23-Mar-07,YES,release,E,,,64,65,H,,"2006 HATCHLING REARED IN LAB, RELEASED 2007 IN E AREA; CLUTCH 4 - BUT SEE NOTE FROM PREV CAPTURE; 7 VERTEBRALS;  (CLUTCH ID NOT CONFIRMED; CARAPACE MARKED WITH CLUTCH ID 4;PROBABLY FROM CLUTCH 3 OR 4); 7 VERTEBRALS"
328,H,2006,headstart,headstart,2006,27-Sep-06,N,release,,,,38,52,H,,"Hatched 2006.  (missing hatchling?; NO CLUTCH ID ASSIGNED, PROBABLY CLUTCH 3 OR 4; HATCHLING ID OF 1); HERE ARE MAR 2007 MEASUREMENTS PRIOR TO RELEASE? Delete this record after get the mar 2007 record"
329,I,2006,headstart,headstart,2007,23-Mar-07,YES,release,E,,,78,71,J,,"2006 HATCHLING REARED IN LAB, RELEASED 2007 IN E AREA; NO CLUTCH # WRITTEN ON CARAPACE; 9missing hatchling?; NO CLUTCH ID ASSIGNED, PROBABLY CLUTCH 3 OR 4)"
330,I,2007,Non,direct_release,2007,1-Sep-07,NO,release,,,,34,49,H,,"2007 Hatchling, incubated and released.  From burrow A122, clutch ID 3-4; ONLY 10 SCUTES ON LEFT SIDE;#300 SCUTE BY COUNTING FORWARD FROM ANAL SCUTE"
331,I,2007,Non,direct_release,2007,2-Oct-07,NO,release,,,,47,46,H,,"2007 Hatchling, incubated and released.  From burrow A97, clutch ID 9-1."
331,I,2007,Non,direct_release,2008,14-Jul-08,YES,trap,C,C85,,60,65,J,,carapace--extra vertebral scute (6 total). Fat!; XTRA VERTEBRAL NOT MENTIONED IN PRIOR CAPTURE
332,I,2007,Non,direct_release,2007,2-Oct-07,NO,release,,,,39,44,H,,"2007 Hatchling, incubated and released.  From burrow A81, clutch 8-7; VERTEBRAL SCUTE ANOMOLY, BRIDGE DEFORMED"
336,I,2007,Non,direct_release,2007,2-Oct-07,NO,release,,,,45,48,H,,"2007 Hatchling, incubated and released.  From burrow A97, clutch ID 9-4; BRIDGES DEFORMED"
337,I,2007,Non,direct_release,2007,2-Oct-07,NO,release,,,,36,40,H,,"2007 Hatchling, incubated and released.  From female 215, clutch ID 11-1."
338,I,2007,Non,direct_release,2007,2-Oct-07,NO,release,,,,35,52,H,,"2007 Hatchling, incubated and released.  From female 129, clutch ID 16-6."
338,I,2007,Non,direct_release,2008,30-Jul-08,YES,trap,A,J-3 (Near A99),,68,73,J,,Healthy!
339,I,2007,Non,direct_release,2007,3-Oct-07,NO,release,,,,31,48,H,,"2007 Hatchling, incubated and released.  From Mike Kennedy, clutch ID 1-1."
340,I,2007,Non,direct_release,2007,3-Oct-07,NO,release,,,,32,47,H,,"2007 Hatchling, incubated and released.  From Mike Kennedy, clutch ID 1-2."
341,I,2007,Non,direct_release,2007,3-Oct-07,NO,release,,,,41,55,H,,"2007 Hatchling, incubated and released.  From burrow A81, clutch ID 8-8."
342,I,2007,Non,direct_release,2007,3-Oct-07,NO,release,,,,32,49,H,,"2007 Hatchling, incubated and released.  From burrow A81, clutch ID 8-6."
343,I,2007,Non,direct_release,2007,3-Oct-07,NO,release,,,,26,48,H,,"2007 Hatchling, incubated and released.  From female 168, clutch ID 17-1."
348,I,2007,Non,direct_release,2007,3-Oct-07,NO,release,,,,45,57,H,,"2007 Hatchling, incubated and released.  From burrow A97, clutch ID 9-2.  Note: where is blood sample???"
349,I,2007,Non,direct_release,2007,3-Oct-07,NO,release,,,,38,53,H,,"2007 Hatchling, incubated and released.  From burrow A81, clutch ID 8-7. AT SOME POINT DATABASE RECORD LISTED ID AS ""349A"" - NOT SURE WHY BECAUSE THERE DOES NOT SEEM TO BE >1 ANIMAL WITH THIS ID"
420,I,,Non,natural,2006,10-May-06,N,hand,E,near E13,new,1660,98,J,,"plastron a little flexible (perhaps a little more than normal); heparin in blood sample; left hind leg has small nodule on knee; SEEMS LIKE EITHER MORPHOMETRICS, WT OR AGE ARE INCORRECT; MAYBE WT IS SUPPOSED TO BE .166KG?"
421,I,,Non,natural,2006,24-May-06,N,trap,E,E15,new,870,173,S,,estimated 5-6 years by T. Norton
421,I,,Non,natural,2009,30-Sep-09,YES,trap,E,E,,2051,234,A,,"REFILED #1 SCUTE; VERY DISTINCT ANNULI; NO PIT TAG; FOREARMS SEEM THIN; TRIES TO PUSH / RAM ANOTHER SUBADULT (#435) WHEN SHARING BIN; BURROW IS WPT 80 IN TRACEY'S GPS; WGS84, NAD83, ZONE 17R; 3505286, 0486920; "
422,I,,Non,natural,2006,25-May-06,N,trap,C,C30,new,220,104,J,,
422,I,,Non,natural,2008,10-Jun-08,Y,bucket,E,E19,OLD,1310,205,S,,"ESTIMATED AGE 11; Annuli measured for growth rate.  Appeared healthy.  PCV=19%, TS=3.; IF DATA ARE CORRECT, FAIRLY BIG MOVE & ALOT OF GROWTH - CHECK PHOTOS (ALTHOUGH PIT MATCHES)"
422,I,,Non,natural,2012,23-Jun-12,Y,trap,C,C99,old,1726,215,S,,"Transmitter attached: frequency 165.690, transmitter # 175795, iButton attached 28 June 2012. Weight after transmitter is 1.747kg."
422,I,,Non,natural,2012,16-Oct-12,YES,trap,C,C99,—,1920,,S,,Downloaded iButton data and reprogrammed to start 17 Oct 2012. Transmitter accidentally removed and then reattached.
